file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,151,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,0
style.css,152,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,14
style.css,153,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,18
style.css,154,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,9
style.css,155,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,11
style.css,156,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,14
style.css,157,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,20
style.css,158,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,0
style.css,159,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,160,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,10
style.css,161,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,162,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,60
style.css,163,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,9
style.css,164,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,165,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,166,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,167,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,17
style.css,168,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,169,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,22
style.css,170,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,8
style.css,171,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,172,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,173,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,14
